Name,Rating,Votes,Duration,Genre,Duration_Minutes
Dreams,7.6,8,1h 46m,Action,106
Rendel: Cycle of Revenge,3.6,245,1h 39m,Action,99
Bull Shark 2,2.9,158,1h 15m,Action,75
Ballistic,2.2,161,1h 35m,Action,95
Karma,4.5,17,1h 51m,Action,111
Young Lion of the West,5.2,108,1h 33m,Action,93
Witch Hunter,5.3,24,1h 20m,Action,80
Mathu Vadalara 2,7.0,1700,2h 19m,Action,139
Shu Si Yi Bo,6.6,32,1h 31m,Action,91
Anchakkallakokkan,6.6,1000,2h 6m,Action,126
Fyre Rises,6.5,322,1h 50m,Action,110
My Fathers' Daughter,6.7,74,1h 18m,Action,78
Mirza: Part 1 - Joker,6.8,240,2h 45m,Action,165
Snatched,4.9,209,1h 41m,Action,101
Desperado,6.0,143,1h 40m,Action,100
Crosspoint,6.8,41,1h 40m,Action,100
Onsen shâku,5.9,32,1h 10m,Action,70
Taklee Genesis x Worlds Collide,5.4,406,2h 26m,Action,146
The Grey Men,6.4,70,1h 37m,Action,97
Losing Lerato 2,9.1,33,1h 36m,Action,96
Mr. Bachchan,3.6,5300,2h 30m,Action,150
High Forces,5.7,526,1h 59m,Action,119
Yuva,5.8,836,2h 33m,Action,153
Slide or Die the Movie,9.2,8,2h 7m,Action,127
Kung Fu Games,3.3,380,1h 38m,Action,98
Clone Cops,8.0,191,1h 36m,Action,96
The Last Chainsaw Massacre,3.8,41,1h 15m,Action,75
Ultraman Blazar the Movie: Tokyo Kaiju Showdown,7.5,86,1h 15m,Action,75
24 Hours to D-Day,4.6,36,1h 23m,Action,83
Bastar: The Naxal Story,6.4,3300,2h 4m,Action,124
Tariq,6.2,18,2h 2m,Action,122
Buddy,3.8,345,2h 17m,Action,137
Kizumonogatari: Koyomi Vamp,7.0,88,2h 24m,Action,144
Gone with the Dead,4.4,47,1h 36m,Action,96
Reloaded 2,7.8,1100,45m,Action,45
Nu Huo 12 Xiao Shi,6.0,47,1h 26m,Action,86
Bangkok Breaking: Heaven and Hell,5.8,665,2h 26m,Action,146
GATAO: Like Father Like Son,6.8,70,1h 40m,Action,100
The Desperate Chase,5.5,59,1h 50m,Action,110
Warning 2,7.1,887,2h 5m,Action,125
Memes & Nightmares,5.7,85,1h 21m,Action,81
Breaking and Re-entering,5.8,441,1h 49m,Action,109
Telekinesis,5.9,60,1h 46m,Action,106
Kamen Rider 555 20th: Paradise Regained,5.9,142,1h 5m,Action,65
Sikaar,8.3,677,2h 30m,Action,150
Shekko,6.0,559,2h,Action,120
The Heist,6.9,2000,2h,Action,120
Sayen: The Huntress,4.4,254,1h 28m,Action,88
Tiger's Trigger,4.2,18,1h 24m,Action,84
Dragon Ball Z Kai,8.5,71,1h 22m,Action,82
DNA,5.1,210,2h 36m,Action,156
Touchdown,6.8,14,1h 18m,Action,78
Clownface 3,9.5,35,1h 44m,Action,104
Gold Raiders,2.0,183,1h 28m,Action,88
The Experts,6.1,276,2h 1m,Action,121
Sous écrous,5.4,35,1h 51m,Action,111
Komandir,6.4,520,2h 11m,Action,131
Kadakan,4.0,112,2h 8m,Action,128
Oru Anveshanathinte Thudakkam,7.1,830,3h 1m,Action,181
Virunnu,7.9,876,2h 5m,Action,125
Yakuza Girl,2.3,66,1h 22m,Action,82
In Tenebras: Into the Darkness,3.3,174,1h 30m,Action,90
The Kingdom,7.9,89,2h 13m,Action,133
Dark World,4.6,15,2h 15m,Action,135
Where Is Gilgamesh?,9.0,606,1h 30m,Action,90
Bohurupi,8.3,1400,2h 35m,Action,155
Purushothamudu,7.4,13,2h,Action,120
Transformers Prime: Galavatron's Revenge,3.7,9,1h 44m,Action,104
Rode College,6.6,429,2h 48m,Action,168
Second Life,6.8,48,1h 45m,Action,105
South Side Hero,5.4,36,1h 32m,Action,92
Hiranya,5.6,20,2h 18m,Action,138
Hit List,5.5,313,2h 5m,Action,125
Mutant,4.5,59,1h 30m,Action,90
Ruslaan,3.3,1200,2h,Action,120
Gangs of Godavari,5.0,909,2h 45m,Action,165
Sunfall,2.3,37,1h 14m,Action,74
Death Game,6.3,24,1h 28m,Action,88
Bloodline,9.2,49,1h 20m,Action,80
Operation Valentine,5.3,1400,2h 13m,Action,133
Uninvited,6.8,73,1h 33m,Action,93
Three Old Captors,7.0,50,1h 34m,Action,94
Blade of Fury,6.1,122,1h 30m,Action,90
The Mystery of Humanoid Puppet,6.7,61,1h 28m,Action,88
Dange,5.3,794,2h 34m,Action,154
Kuang Bao Ju Xi,6.0,71,1h 15m,Action,75
Zénithal,5.4,83,1h 20m,Action,80
Bhimaa,5.1,1200,2h 21m,Action,141
Genis Aile 4: Cevahir & Ulvi,7.0,54,1h 30m,Action,90
Soodhu Kavvum 2: Naatum Naatu Makkalum,3.7,201,2h 9m,Action,129
The Omicron Killer,2.9,594,1h 38m,Action,98
Honeko Akabane's Bodyguards,5.9,40,1h 57m,Action,117
UmroAyyar - A New Beginning,6.9,674,2h 15m,Action,135
Por,5.1,614,2h 34m,Action,154
Megdan: Between Water and Fire,5.4,723,1h 46m,Action,106
How to Make a Werewolf,5.9,138,16+,Action,0
Saint Young Men: Holy Men vs Demon Army,3.0,13,1h 33m,Action,93
London Gangsters,4.3,11,1h 44m,Action,104
